[2026/09/25 17:50:01:6898] N: ttyd 1.7.7-unknown (libwebsockets 4.5.2-unknown)
[2026/09/25 17:50:01:6901] N: tty configuration:
[2026/09/25 17:50:01:6901] N:   start command: /tmp/tcc-muhoaejx/attach.sh
[2026/09/25 17:50:01:6901] N:   close signal: SIGHUP (1)
[2026/09/25 17:50:01:6901] N:   terminal type: xterm-256color
[2026/09/25 17:50:01:6901] N:   allow url arg: true
[2026/09/25 17:50:01:6901] N: lws_create_context: LWS: 4.5.2-unknown, NET CLI SRV H1 H2 WS SS-JSON-POL ConMon IPV6-off
[2026/09/25 17:50:04:0529] N: WS closed from (unix skt), clients: 6
[2026/09/25 17:50:04:0529] N: killing process, pid: 87295
[2026/09/25 17:50:04:0533] N: process killed with signal 0, pid: 87295
[2026/09/25 17:50:04:0625] N: WS closed from (unix skt), clients: 5
[2026/09/25 17:50:04:0625] N: killing process, pid: 87300
[2026/09/25 17:50:04:0629] N: process killed with signal 0, pid: 87300
[2026/09/25 17:50:04:1177] N: WS closed from (unix skt), clients: 4
[2026/09/25 17:50:04:1177] N: killing process, pid: 87301
[2026/09/25 17:50:04:1182] N: process killed with signal 0, pid: 87301
[2026/09/25 17:50:04:5541] N: WS closed from (unix skt), clients: 3
[2026/09/25 17:50:04:5542] N: killing process, pid: 87297
[2026/09/25 17:50:04:5546] N: process killed with signal 0, pid: 87297
[2026/09/25 17:50:04:6193] N: WS closed from (unix skt), clients: 2
[2026/09/25 17:50:04:6194] N: killing process, pid: 87302
[2026/09/25 17:50:04:6202] N: process killed with signal 0, pid: 87302
[2026/09/25 17:50:05:7392] N: WS closed from (unix skt), clients: 1
[2026/09/25 17:50:05:7393] N: killing process, pid: 87299
[2026/09/25 17:50:05:7394] N: WS closed from (unix skt), clients: 0
[2026/09/25 17:50:05:7394] N: killing process, pid: 87313
[2026/09/25 17:50:05:7406] N: process killed with signal 0, pid: 87299
[2026/09/25 17:50:05:7432] N: process killed with signal 0, pid: 87313
[2026/09/25 17:50:05:7627] N: WS   /ws - (unix skt), clients: 1
[2026/09/25 17:50:05:7627] N: WS   /ws - (unix skt), clients: 2
[2026/09/25 17:50:05:7627] N: WS   /ws - (unix skt), clients: 3
[2026/09/25 17:50:05:7627] N: WS   /ws - (unix skt), clients: 4
[2026/09/25 17:50:05:7628] N: WS   /ws - (unix skt), clients: 5
[2026/09/25 17:50:05:7628] N: WS   /ws - (unix skt), clients: 6
[2026/09/25 17:50:05:7628] N: WS   /ws - (unix skt), clients: 7
[2026/09/25 17:50:05:7628] N: WS   /ws - (unix skt), clients: 8
[2026/09/25 17:50:05:7628] N: WS   /ws - (unix skt), clients: 9
[2026/09/25 17:50:05:7628] N: WS   /ws - (unix skt), clients: 10
[2026/09/25 17:50:05:7643] N: started process, pid: 87674
[2026/09/25 17:50:05:7651] N: started process, pid: 87675
[2026/09/25 17:50:05:7661] N: started process, pid: 87676
[2026/09/25 17:50:05:7675] N: started process, pid: 87677
[2026/09/25 17:50:05:7686] N: started process, pid: 87678
[2026/09/25 17:50:05:7695] N: started process, pid: 87679
[2026/09/25 17:50:05:7709] N: started process, pid: 87680
[2026/09/25 17:50:05:7728] N: started process, pid: 87685
[2026/09/25 17:50:05:7738] N: started process, pid: 87694
[2026/09/25 17:50:05:7765] N: started process, pid: 87699
[2026/09/25 17:50:05:8799] N: WS closed from (unix skt), clients: 9
[2026/09/25 17:50:05:8799] N: killing process, pid: 87677
[2026/09/25 17:50:05:8803] N: process killed with signal 1, pid: 87677
